question,answer,url
what is the title of the person who runs the house of representatives,['Speaker of the House'],https://en.wikipedia.org//w/index.php?title=United_States_House_of_Representatives&amp;oldid=819510474
yo la tengo theres a riot going on release date,"['March 16, 2018']",https://en.wikipedia.org//w/index.php?title=There%27s_a_Riot_Going_On&amp;oldid=832869922
who played the hobbits in the lord of the rings,"['Elijah Wood as Frodo Baggins', 'Sean Astin as Samwise ""Sam"" Gamgee', 'Billy Boyd as Peregrin ""Pippin"" Took', 'Dominic Monaghan as Meriadoc ""Merry"" Brandybuck']",https://en.wikipedia.org//w/index.php?title=The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring&amp;oldid=838248748
where does the show the path take place,['Upstate New York'],https://en.wikipedia.org//w/index.php?title=The_Path_(TV_series)&amp;oldid=838260897
when did michigan last win a national championship,['1989'],https://en.wikipedia.org//w/index.php?title=Michigan_Wolverines_men%27s_basketball&amp;oldid=838088704
when did united states enter world war i,['April 1917'],https://en.wikipedia.org//w/index.php?title=American_entry_into_World_War_I&amp;oldid=822020133
where do secondary xylem and phloem cells arise from,['The vascular cambium'],https://en.wikipedia.org//w/index.php?title=Vascular_cambium&amp;oldid=828437156
who built the tower of london in 1066,['William the Conqueror'],https://en.wikipedia.org//w/index.php?title=Tower_of_London&amp;oldid=838206414
who translated the play neel darpan into english,['Michael Madhusudan Dutta'],https://en.wikipedia.org//w/index.php?title=Nil_Darpan&amp;oldid=825786169
who won the 1st battle of bull run,['Confederate victory'],https://en.wikipedia.org//w/index.php?title=First_Battle_of_Bull_Run&amp;oldid=836552195
when does season 2 of just add magic come out,"['October 14, 2016']",https://en.wikipedia.org//w/index.php?title=Just_Add_Magic_(TV_series)&amp;oldid=836069363
what is the main objective of criminal law,"['Retribution', 'Deterrence', 'Incapacitation', 'Rehabilitation', 'Restoration']",https://en.wikipedia.org//w/index.php?title=Criminal_law&amp;oldid=804341278
what year did the us hockey team won the olympics,['1960 and 1980'],https://en.wikipedia.org//w/index.php?title=United_States_men%27s_national_ice_hockey_team&amp;oldid=838458516
when did 10 shilling note go out of circulation,['22 November 1970'],https://en.wikipedia.org//w/index.php?title=Bank_of_England_10s_note&amp;oldid=827330611
